[COURSE HEADER]
VERSION = 2
UNITS = ENGLISH
DESCRIPTION = Disaster, 0.87, 318, Blah blah blah All-Encompassing "Kitchen Sink" workout blah blah blah
FILE NAME = NS250RS318_KitchenSink3_13x2-20m.mrc
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0.0	50
15.0	50
15.0	80
16.0	80
16.0	50
17.0	50
17.0	80
18.0	80
18.0	50
19.0	50
19.0	80
20.0	80
20.0	50
22.0	50
22.0	150
22.2	150
22.2	40
25.0	40
25.0	160
25.2	160
25.2	40
28.0	40
28.0	180
28.2	180
28.2	40
31.0	40
31.0	200
31.2	200
31.2	50
35.0	50
35.0	105
47.0	105
47.0	40
52.0	40
52.0	105
64.0	105
64.0	40
69.0	40
69.0	105
81.0	105
81.0	40
86.0	40
86.0	105
98.0	105
98.0	50
103.0	50
103.0	70
108.0	70
108.0	75
108.25	75
108.25	70
113.0	70
113.0	75
113.25	75
113.25	70
118.0	70
118.0	75
118.25	75
118.25	70
123.0	70
123.0	75
123.25	75
123.25	70
128.0	70
128.0	75
128.25	75
128.25	70
133.0	70
133.0	75
133.25	75
133.25	70
138.0	70
138.0	75
138.25	75
138.25	70
143.0	70
143.0	75
143.25	75
143.25	70
148.0	70
148.0	50
153.0	50
153.0	120
155.0	120
155.0	40
156.0	40
156.0	120
158.0	120
158.0	40
159.0	40
159.0	120
161.0	120
161.0	40
162.0	40
162.0	120
164.0	120
164.0	40
165.0	40
165.0	120
167.0	120
167.0	40
168.0	40
168.0	120
170.0	120
170.0	50
175.0	50
175.0	90
178.0	90
178.0	200
178.17	200
178.17	90
181.0	90
181.0	200
181.17	200
181.17	90
184.0	90
184.0	200
184.17	200
184.17	90
187.0	90
187.0	200
187.17	200
187.17	90
190.0	90
190.0	200
190.17	200
190.17	90
193.0	90
193.0	200
193.17	200
193.17	90
196.0	90
196.0	200
196.17	200
196.17	90
199.0	90
199.0	200
199.17	200
199.17	90
202.0	90
202.0	200
202.17	200
202.17	90
205.0	90
205.0	200
205.17	200
205.17	90
208.0	90
208.0	200
208.17	200
208.17	90
211.0	90
211.0	200
211.17	200
211.17	90
214.0	90
214.0	200
214.17	200
214.17	90
217.0	90
217.0	200
217.17	200
217.17	90
220.0	90
220.0	50
225.0	50
225.0	70
245.0	70
245.0	50
250.0	40
[END COURSE DATA]

[INTERVAL DATA]
0	15000	Workout
900	960	FastPedal 1
1020	1080	FastPedal 2
1140	1200	FastPedal 3
1320	1332	Sprint 1
1500	1512	Sprint 2
1680	1692	Sprint 3
1860	1872	Sprint 4
2100	2820	Hill Climb 1
3120	3840	Hill Climb 2
4140	4860	Hill Climb 3
5160	5880	Hill Climb 4
6180	8880	Endurance
9180	9300	VO2max 1
9360	9480	VO2max 2
9540	9660	VO2max 3
9720	9840	VO2max 4
9900	10020	VO2max 5
10080	10200	VO2max 6
10500	13200	Sweet Spot
13500	14700	Endurance 2
[END INTERVAL DATA]
