[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Sufferfest The Rookie,91,75. Created by 32607.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	40
3.33	40
3.33	50
5.33	50
5.33	74
7.33	74
7.33	84
8.33	84
8.33	104
8.61	104
8.61	94
8.73	94
8.73	109
8.81	109
8.81	99
9.33	99
9.33	40
10.1	40
10.1	109
11.1	109
11.1	40
13.1	40
13.1	89
15.1	89
15.1	74
15.6	74
15.6	104
15.76	104
15.76	99
16.21	99
16.21	104
16.83	104
16.83	99
17.18	99
17.18	104
17.28	104
17.28	109
17.58	109
17.58	74
18.1	74
18.1	104
18.61	104
18.61	109
18.7	109
18.7	104
18.76	104
18.76	109
18.85	109
18.85	104
18.91	104
18.91	109
19	109
19	104
19.36	104
19.36	109
19.45	109
19.45	104
19.61	104
19.61	109
19.7	109
19.7	104
20.03	104
20.03	109
20.1	109
20.1	74
20.6	74
20.6	109
21.68	109
21.68	104
22.41	104
22.41	109
22.91	109
22.91	109
23.08	109
23.08	40
26.58	40
26.58	104
26.78	104
26.78	99
27.7	99
27.7	104
28.6	104
28.6	109
29.01	109
29.01	114
29.6	114
29.6	64
29.93	64
29.93	124
30.08	124
30.08	99
30.23	99
30.23	104
30.3	104
30.3	99
30.38	99
30.38	104
30.46	104
30.46	99
30.7	99
30.7	104
30.78	104
30.78	99
31.6	99
31.6	109
31.86	109
31.86	114
31.95	114
31.95	109
32.6	109
32.6	74
32.93	74
32.93	114
33.4	114
33.4	119
33.48	119
33.48	114
33.6	114
33.6	84
34.08	84
34.08	104
35.4	104
35.4	109
35.46	109
35.46	104
35.6	104
35.6	109
36.1	109
36.1	119
36.43	119
36.43	89
36.76	89
36.76	109
36.9	109
36.9	119
37.16	119
37.16	89
37.26	89
37.26	124
37.41	124
37.41	150
37.58	150
37.58	40
38.91	40
38.91	40
40.6	40
40.6	99
41.08	99
41.08	114
41.48	114
41.48	89
41.6	89
41.6	99
42.35	99
42.35	109
43.1	109
43.1	99
44.01	99
44.01	104
44.1	104
44.1	109
44.9	109
44.9	114
45.1	114
45.1	89
45.5	89
45.5	84
45.66	84
45.66	109
45.75	109
45.75	89
46.6	89
46.6	109
47.35	109
47.35	114
47.43	114
47.43	109
48.01	109
48.01	114
48.1	114
48.1	99
48.73	99
48.73	84
48.83	84
48.83	109
48.95	109
48.95	99
49.21	99
49.21	104
49.56	104
49.56	109
49.81	109
49.81	104
50.2	104
50.2	84
50.28	84
50.28	114
50.41	114
50.41	150
50.58	150
50.58	40
54.75	40
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	3285	Workout
320	440	Endurance 1
440	500	Tempo 1
500	517	Threshold 1
517	524	Sweet Spot 1
524	529	VO2 Max 1
529	560	Threshold 2
606	666	VO2 Max 2
786	906	Sweet Spot 2
906	936	Endurance 2
936	946	Threshold 3
946	973	Threshold 4
973	1010	Threshold 5
1010	1031	Threshold 6
1031	1037	Threshold 7
1037	1055	VO2 Max 3
1055	1086	Endurance 3
1086	1117	Threshold 8
1117	1122	VO2 Max 4
1122	1126	Threshold 9
1126	1131	VO2 Max 5
1131	1135	Threshold 10
1135	1140	VO2 Max 6
1140	1162	Threshold 11
1162	1167	VO2 Max 7
1167	1177	Threshold 12
1177	1182	VO2 Max 8
1182	1202	Threshold 13
1202	1206	VO2 Max 9
1206	1236	Endurance 4
1236	1301	VO2 Max 10
1301	1345	Threshold 14
1345	1375	VO2 Max 11
1375	1385	VO2 Max 12
1595	1607	Threshold 15
1607	1662	Threshold 16
1662	1716	Threshold 17
1716	1741	VO2 Max 13
1741	1776	VO2 Max 14
1776	1796	Endurance 5
1796	1805	Sprint 1
1805	1814	Threshold 18
1814	1818	Threshold 19
1818	1823	Threshold 20
1823	1828	Threshold 21
1828	1842	Threshold 22
1842	1847	Threshold 23
1847	1896	Threshold 24
1896	1912	VO2 Max 15
1912	1917	VO2 Max 16
1917	1956	VO2 Max 17
1956	1976	Endurance 6
1976	2004	VO2 Max 18
2004	2009	VO2 Max 19
2009	2016	VO2 Max 20
2016	2045	Tempo 2
2045	2124	Threshold 25
2124	2128	VO2 Max 21
2128	2136	Threshold 26
2136	2166	VO2 Max 22
2166	2186	VO2 Max 23
2186	2206	Sweet Spot 3
2206	2214	VO2 Max 24
2214	2230	VO2 Max 25
2230	2236	Sweet Spot 4
2236	2245	Sprint 2
2245	2255	Sprint 3
2436	2465	Threshold 27
2465	2489	VO2 Max 26
2489	2496	Sweet Spot 5
2496	2541	Threshold 28
2541	2586	VO2 Max 27
2586	2641	Threshold 29
2641	2646	Threshold 30
2646	2694	VO2 Max 28
2694	2706	VO2 Max 29
2706	2730	Sweet Spot 6
2730	2740	Tempo 3
2740	2745	VO2 Max 30
2745	2796	Sweet Spot 7
2796	2841	VO2 Max 31
2841	2846	VO2 Max 32
2846	2881	VO2 Max 33
2881	2886	VO2 Max 34
2886	2924	Threshold 31
2924	2930	Tempo 4
2930	2937	VO2 Max 35
2937	2953	Threshold 32
2953	2974	Threshold 33
2974	2989	VO2 Max 36
2989	3012	Threshold 34
3012	3017	Tempo 5
3017	3025	VO2 Max 37
3025	3035	Sprint 4
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

