[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Sufferfest The Wretched,93,71. Created by 54949.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	55
4.93	55
4.93	65
6.56	65
6.56	77
8.21	77
8.21	90
9.31	90
9.31	69
10.01	69
10.01	77
10.43	77
10.43	90
10.55	90
10.55	114
10.71	114
10.71	78
10.98	78
10.98	102
11.11	102
11.11	96
11.66	96
11.66	102
11.78	102
11.78	114
12.08	114
12.08	90
12.4	90
12.4	108
12.78	108
12.78	84
13.36	84
13.36	90
13.63	90
13.63	84
13.91	84
13.91	90
15.25	90
15.25	97
16.83	97
16.83	108
17.11	108
17.11	102
17.33	102
17.33	108
17.95	108
17.95	102
19.11	102
19.11	105
19.96	105
19.96	151
20.28	151
20.28	69
21.18	69
21.18	90
21.51	90
21.51	96
21.85	96
21.85	69
22.13	69
22.13	114
22.55	114
22.55	102
23.03	102
23.03	105
23.33	105
23.33	95
24.1	95
24.1	105
24.38	105
24.38	102
24.5	102
24.5	96
25.96	96
25.96	69
26.45	69
26.45	102
27.06	102
27.06	151
27.36	151
27.36	69
28.56	69
28.56	83
28.88	83
28.88	89
29.03	89
29.03	83
29.43	83
29.43	92
29.71	92
29.71	83
30.13	83
30.13	89
30.46	89
30.46	83
30.93	83
30.93	89
31.3	89
31.3	95
31.86	95
31.86	98
33.05	98
33.05	101
35.31	101
35.31	113
35.6	113
35.6	107
38.55	107
38.55	110
39.58	110
39.58	151
39.81	151
39.81	69
40.33	69
40.33	83
40.76	83
40.76	101
41.03	101
41.03	69
41.85	69
41.85	89
42.15	89
42.15	101
42.43	101
42.43	113
42.66	113
42.66	101
43.15	101
43.15	107
44	107
44	110
44.83	110
44.83	156
45.13	156
45.13	55
49.48	55
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	2969	Workout
0	296	Endurance 1
296	394	Endurance 2
394	493	Tempo 1
493	559	Sweet Spot 1
559	601	Endurance 3
601	626	Tempo 2
626	633	Sweet Spot 2
633	643	VO2 Max 1
643	659	Tempo 3
659	667	Threshold 1
667	700	Threshold 2
700	707	Threshold 3
707	725	VO2 Max 2
725	744	Sweet Spot 3
744	767	VO2 Max 3
767	802	Tempo 4
802	818	Sweet Spot 4
818	835	Tempo 5
835	915	Sweet Spot 5
915	1010	Threshold 4
1010	1027	VO2 Max 4
1027	1040	Threshold 5
1040	1077	VO2 Max 5
1077	1147	Threshold 6
1147	1198	Threshold 7
1198	1217	Sprint 1
1217	1271	Endurance 4
1271	1291	Sweet Spot 6
1291	1311	Threshold 8
1311	1328	Endurance 5
1328	1353	VO2 Max 6
1353	1382	Threshold 9
1382	1400	Threshold 10
1400	1446	Sweet Spot 7
1446	1463	Threshold 11
1463	1470	Threshold 12
1470	1558	Threshold 13
1558	1587	Endurance 6
1587	1624	Threshold 14
1624	1642	Sprint 2
1642	1714	Endurance 7
1714	1733	Tempo 6
1733	1742	Sweet Spot 8
1742	1766	Tempo 7
1766	1783	Sweet Spot 9
1783	1808	Tempo 8
1808	1828	Sweet Spot 10
1828	1856	Tempo 9
1856	1878	Sweet Spot 11
1878	1912	Sweet Spot 12
1912	1983	Threshold 15
1983	2119	Threshold 16
2119	2136	VO2 Max 7
2136	2313	VO2 Max 8
2313	2375	VO2 Max 9
2375	2389	Sprint 3
2389	2420	Endurance 8
2420	2446	Tempo 10
2446	2462	Threshold 17
2462	2511	Endurance 9
2511	2529	Sweet Spot 13
2529	2546	Threshold 18
2546	2560	VO2 Max 10
2560	2589	Threshold 19
2589	2640	VO2 Max 11
2640	2690	VO2 Max 12
2690	2708	Sprint 4
2708	2969	Endurance 10
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

