[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Mallory +2,85,179. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
30	65
30	90
31	90
31	110
31.25	110
31.25	90
32	90
32	110
32.25	110
32.25	90
33	90
33	40
38	40
38	90
38.75	90
38.75	105
39	105
39	90
39.75	90
39.75	105
40	105
40	90
40.75	90
40.75	110
41	110
41	95
41.75	95
41.75	110
42	110
42	95
42.75	95
42.75	110
43	110
43	100
43.75	100
43.75	120
44	120
44	100
44.75	100
44.75	120
45	120
45	100
45.75	100
45.75	120
46	120
46	105
46.75	105
46.75	130
47	130
47	105
47.75	105
47.75	130
48	130
48	105
48.75	105
48.75	135
49	135
49	110
49.75	110
49.75	135
50	135
50	40
58	40
58	90
58.75	90
58.75	105
59	105
59	90
59.75	90
59.75	105
60	105
60	90
60.75	90
60.75	110
61	110
61	95
61.75	95
61.75	110
62	110
62	95
62.75	95
62.75	110
63	110
63	100
63.75	100
63.75	120
64	120
64	100
64.75	100
64.75	120
65	120
65	100
65.75	100
65.75	120
66	120
66	105
66.75	105
66.75	130
67	130
67	105
67.75	105
67.75	130
68	130
68	110
68.75	110
68.75	135
69	135
69	110
69.75	110
69.75	135
70	135
70	40
78	40
78	90
78.75	90
78.75	105
79	105
79	90
79.75	90
79.75	105
80	105
80	95
80.75	95
80.75	110
81	110
81	95
81.75	95
81.75	110
82	110
82	95
82.75	95
82.75	110
83	110
83	100
83.75	100
83.75	120
84	120
84	100
84.75	100
84.75	120
85	120
85	100
85.75	100
85.75	120
86	120
86	105
86.75	105
86.75	130
87	130
87	105
87.75	105
87.75	130
88	130
88	110
88.75	110
88.75	135
89	135
89	110
89.75	110
89.75	135
90	135
90	65
117	65
117	120
119	120
119	40
121	40
121	120
123	120
123	40
125	40
125	120
127	120
127	40
135	40
135	120
137	120
137	40
139	40
139	120
141	120
141	40
143	40
143	120
145	120
145	40
150	30
[END COURSE DATA]

[COURSE TEXT]
0	Today's workout is all about variety...	5	0	0	72	16777215	10
0	and pain ;-)	3	0	0	72	16777215	17
0	A combination of 3 over-under intervals lasting 12 minutes each...	5	0	0	72	16777215	22
0	followed by a couple sets of 3x2-minute VO2max intervals...	5	0	0	72	16777215	31
0	promises to keep things interesting	5	0	0	72	16777215	39
0	You'll have short but adequate rest periods between efforts...	5	0	0	72	16777215	46
0	and plenty of workload!	3	0	0	72	16777215	54
0	Before then...	3	0	0	72	16777215	60
0	a long stretch of general warming followed by...	5	0	0	72	16777215	65
0	a short over-under warmup to get you ready	5	0	0	72	16777215	72
1800	Keep your spin light & quick	5	0	0	72	16777215	0
1860	Steady spin, higher power	5	0	0	72	16777215	0
1980	Ease up & spin lightly for a few minutes	5	0	0	72	16777215	0
1980	Alright then, time to talk about the over-unders	5	0	0	72	16777215	60
1980	The bonus to these over-unders...	3	0	0	72	16777215	67
1980	is that they are progressive	3	0	0	72	16777215	72
1980	So as the set progresses, their intensity increases as well	5	0	0	72	16777215	77
1980	This is very similar to what you experience...	5	0	0	72	16777215	84
1980	in a team time trial (TTT)	5	0	0	72	16777215	91
1980	The increased difficulty might make it hard...	5	0	0	72	16777215	98
1980	to maintain a quick cadence	3	0	0	72	16777215	105
1980	If it gets too hard to keep your leg speed...	5	0	0	72	16777215	110
1980	shift down to keep your spin high	5	0	0	72	16777215	117
1980	And if you're on an electronic trainer in Ergo mode...	5	0	0	72	16777215	124
1980	use the occasional, short backpedal break	5	0	0	72	16777215	131
1980	Just spin backward for 5-8 seconds...	5	0	0	72	16777215	138
1980	just long enough for the resistance to fall to zero...	5	0	0	72	16777215	145
1980	and then spin it back up	3	0	0	72	16777215	152
1980	We'll let you get your bearings during the first set...	5	0	0	72	16777215	180
1980	but after that we'll work in some technique drills	5	0	0	72	16777215	187
1980	During this first effort especially...	8	0	0	72	16777215	194
1980	try your best to maintain cadence	5	0	0	72	16777215	201
1980	30 seconds until the first set...	3	0	0	72	16777215	270
1980	so bring your spin up to 85rpm or higher	5	0	0	72	16777215	275
1980	Try to maintain that quick cadence throughout	5	0	0	72	16777215	282
1980	And breathe steadily & deeply throughout	5	0	0	72	16777215	289
2280	Let's roll	3	0	0	72	16777215	0
2325	Work a little harder...	3	0	0	72	16777215	0
2325	but hide the change in effort	5	0	0	72	16777215	5
2445	A little higher now	3	0	0	72	16777215	0
2580	Good! Now we're getting into the swing of things	5	0	0	72	16777215	0
2580	Stay as relaxed as possible...	5	0	0	72	16777215	7
2580	and try to make this all look easy	5	0	0	72	16777215	14
2625	Pick it up!	3	0	0	72	16777215	0
2805	Higher still...	3	0	0	72	16777215	0
2805	but continue to hide your effort	5	0	0	72	16777215	5
2925	Last set of increases, hang on!	5	0	0	72	16777215	0
2940	Almost there! Be smooth	3	0	0	72	16777215	0
2985	Last kick, lots of control	5	0	0	72	16777215	0
3000	Nice job! Ease waaaaaaaay up	5	0	0	72	16777215	0
3000	Take some time to backpedal if needed	5	0	0	72	16777215	10
3000	This next set is nearly identical to the first...	5	0	0	72	16777215	120
3000	but let's turn our focus to your body positioning	5	0	0	72	16777215	127
3000	Chances are...	3	0	0	72	16777215	134
3000	putting out an effort like this when riding outside...	5	0	0	72	16777215	139
3000	would happen during a Team Time Trial	5	0	0	72	16777215	146
3000	And if that were the case...	3	0	0	72	16777215	153
3000	you'd be in your drops or aero bars	5	0	0	72	16777215	158
3000	So if you have aero bars, use them during this next set	5	0	0	72	16777215	165
3000	If you don't have aero bars...	3	0	0	72	16777215	172
3000	consider getting into your drops...	5	0	0	72	16777215	177
3000	or your more-aero-than-usual position of choice	5	0	0	72	16777215	184
3000	Building power in this position is important...	5	0	0	72	16777215	191
3000	if you plan to employ it outdoors	5	0	0	72	16777215	198
3000	So we'll work on refining it throughout the next set	5	0	0	72	16777215	205
3000	30 seconds until the next set, adjust your spin...	5	0	0	72	16777215	450
3000	but don't get into your aero position just yet	5	0	0	72	16777215	457
3000	Use the first 10 seconds or so...	5	0	0	72	16777215	465
3000	to get up to speed, THEN get into position	5	0	0	72	16777215	472
3480	Bring up that power & settle in	5	0	0	72	16777215	0
3480	When you're ready, get into your aero position...	5	0	0	72	16777215	7
3480	then stay aero for as much of this interval as you can	5	0	0	72	16777215	40
3525	A little more effort, still aero	5	0	0	72	16777215	0
3660	Good! Now evaluate your position	5	0	0	72	16777215	0
3660	Are you bent over too far?	3	0	0	72	16777215	7
3660	Ease up a little	3	0	0	72	16777215	12
3660	Do you need to scoot forward an inch on your saddle?	5	0	0	72	16777215	17
3660	Is your head low?	3	0	0	72	16777215	24
3660	Neck long & relaxed?	3	0	0	72	16777215	29
3840	Are your shoulders relaxed?	5	0	0	72	16777215	0
3840	Let 'em fall	3	0	0	72	16777215	5
3840	Is your torso stable?	3	0	0	72	16777215	10
3840	Or are you rocking with every pedalstroke?	5	0	0	72	16777215	15
3840	Stabilize those hips...	3	0	0	72	16777215	22
3840	and anchor those sit-bones	5	0	0	72	16777215	27
3960	Even though it's tough...	3	0	0	72	16777215	0
3960	and getting tougher by the minute	3	0	0	72	16777215	5
3960	stay in position	3	0	0	72	16777215	10
4125	Keep it going...	3	0	0	72	16777215	0
