[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Epic Texas Hill,84,107. Created by 1.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	75
9.73	75
9.73	90
10.05	90
10.05	80
11.01	80
11.01	90
13.63	90
13.63	80
14.08	80
14.08	90
14.65	90
14.65	80
15.28	80
15.28	90
17.73	90
17.73	80
20.66	80
20.66	90
21.61	90
21.61	80
22	80
22	90
22.86	90
22.86	80
27.18	80
27.18	90
30.95	90
30.95	75
32.28	75
32.28	90
34.03	90
34.03	75
34.63	75
34.63	90
35.2	90
35.2	75
39.16	75
39.16	90
40.31	90
40.31	77
40.91	77
40.91	89
42.66	89
42.66	75
43.55	75
43.55	90
44.86	90
44.86	75
45.81	75
45.81	89
47.36	89
47.36	75
48.06	75
48.06	75
49.1	75
49.1	95
49.91	95
49.91	77
50.18	77
50.18	95
51.6	95
51.6	70
51.95	70
51.95	95
52.23	95
52.23	70
52.83	70
52.83	95
53.56	95
53.56	75
56.98	75
56.98	95
57.36	95
57.36	75
57.85	75
57.85	95
58.66	95
58.66	75
59.65	75
59.65	95
60.85	95
60.85	75
62.9	75
62.9	95
64.65	95
64.65	75
65.6	75
65.6	95
66.56	95
66.56	76
67.28	76
67.28	95
67.96	95
67.96	76
68.25	76
68.25	95
69.53	95
69.53	75
69.95	75
69.95	90
70.73	90
70.73	75
75.41	75
75.41	95
77.45	95
77.45	75
78.63	75
78.63	95
80.1	95
80.1	75
81.48	75
81.48	95
82.16	95
82.16	75
82.48	75
82.48	95
82.71	95
82.71	75
84.85	75
84.85	105
86.03	105
86.03	75
87.51	75
87.51	90
88.23	90
88.23	90
88.7	90
88.7	70
90.66	70
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	5440	Workout
0	5440	Combined Tempo 1
[END INTERVAL DATA]

