[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Ride Fit Spin Around Madrid,97,81. Created by 11407.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	0
0.3	0
0.3	45
2.05	45
2.05	63
2.8	63
2.8	63
2.96	63
2.96	67
3.83	67
3.83	99
4.2	99
4.2	114
4.96	114
4.96	99
5.96	99
5.96	67
6.55	67
6.55	96
7.36	96
7.36	99
8.23	99
8.23	77
8.91	77
8.91	64
9.41	64
9.41	99
9.66	99
9.66	93
9.8	93
9.8	96
10.15	96
10.15	99
10.56	99
10.56	96
10.98	96
10.98	93
11.45	93
11.45	99
11.86	99
11.86	93
11.96	93
11.96	107
12.35	107
12.35	99
12.95	99
12.95	96
13.85	96
13.85	114
14.35	114
14.35	99
15.16	99
15.16	96
15.95	96
15.95	99
16.96	99
16.96	93
17.2	93
17.2	96
17.38	96
17.38	99
17.98	99
17.98	114
18.66	114
18.66	99
19.26	99
19.26	96
19.56	96
19.56	77
19.76	77
19.76	82
20.18	82
20.18	96
20.36	96
20.36	82
20.55	82
20.55	96
22.05	96
22.05	82
22.4	82
22.4	125
22.63	125
22.63	63
23.13	63
23.13	92
23.9	92
23.9	96
25.23	96
25.23	92
25.65	92
25.65	126
27.38	126
27.38	167
28.03	167
28.03	125
28.16	125
28.16	99
28.35	99
28.35	77
28.53	77
28.53	64
28.75	64
28.75	125
29.08	125
29.08	126
29.65	126
29.65	77
29.85	77
29.85	64
30.81	64
30.81	82
32.2	82
32.2	63
32.7	63
32.7	96
33.2	96
33.2	92
34.7	92
34.7	121
35.3	121
35.3	92
35.55	92
35.55	99
35.81	99
35.81	92
36.1	92
36.1	121
36.51	121
36.51	96
37.06	96
37.06	121
37.28	121
37.28	92
37.66	92
37.66	99
38.16	99
38.16	96
38.41	96
38.41	92
38.81	92
38.81	121
39.33	121
39.33	92
39.78	92
39.78	121
40.51	121
40.51	96
41.03	96
41.03	92
41.61	92
41.61	96
41.83	96
41.83	92
43.38	92
43.38	96
43.71	96
43.71	92
45.13	92
45.13	126
45.91	126
45.91	77
46.45	77
46.45	39
51.05	39
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	3063	Workout
123	168	Endurance 1
168	178	Endurance 2
178	230	Endurance 3
230	252	Threshold 1
252	298	VO2 Max 1
298	358	Threshold 2
358	393	Endurance 4
393	442	Threshold 3
442	494	Threshold 4
494	535	Tempo 1
535	565	Endurance 5
565	580	Threshold 5
580	588	Sweet Spot 1
588	609	Threshold 6
609	634	Threshold 7
634	659	Threshold 8
659	687	Sweet Spot 2
687	712	Threshold 9
712	718	Sweet Spot 3
718	741	VO2 Max 2
741	777	Threshold 10
777	831	Threshold 11
831	861	VO2 Max 3
861	910	Threshold 12
910	957	Threshold 13
957	1018	Threshold 14
1018	1032	Sweet Spot 4
1032	1043	Threshold 15
1043	1079	Threshold 16
1079	1120	VO2 Max 4
1120	1156	Threshold 17
1156	1174	Threshold 18
1174	1186	Tempo 2
1186	1211	Tempo 3
1211	1222	Threshold 19
1222	1233	Tempo 4
1233	1323	Threshold 20
1323	1344	Tempo 5
1344	1358	Sprint 1
1358	1388	Endurance 6
1388	1434	Sweet Spot 5
1434	1514	Threshold 21
1514	1539	Sweet Spot 6
1539	1643	Anaerobic Capacity 1
1643	1682	Anaerobic Capacity 2
1682	1690	Sprint 2
1690	1701	Threshold 22
1701	1712	Tempo 6
1712	1725	Endurance 7
1725	1745	Sprint 3
1745	1779	Anaerobic Capacity 3
1779	1791	Tempo 7
1791	1849	Endurance 8
1849	1932	Tempo 8
1932	1962	Endurance 9
1962	1992	Threshold 23
1992	2082	Sweet Spot 7
2082	2118	Anaerobic Capacity 4
2118	2133	Sweet Spot 8
2133	2149	Threshold 24
2149	2166	Sweet Spot 9
2166	2191	Sprint 4
2191	2224	Threshold 25
2224	2237	Sprint 5
2237	2260	Sweet Spot 10
2260	2290	Threshold 26
2290	2305	Threshold 27
2305	2329	Sweet Spot 11
2329	2360	Anaerobic Capacity 5
2360	2387	Sweet Spot 12
2387	2431	Anaerobic Capacity 6
2431	2462	Threshold 28
2462	2497	Sweet Spot 13
2497	2510	Threshold 29
2510	2603	Sweet Spot 14
2603	2623	Threshold 30
2623	2708	Sweet Spot 15
2708	2755	Anaerobic Capacity 7
2755	2787	Tempo 9
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

