[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Ride Fit Bicicleta Perfecta,94,146. Created by 11407.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	0
0.3	0
0.3	43
2.38	43
2.38	60
2.85	60
2.85	91
3.33	91
3.33	87
3.86	87
3.86	91
4.13	91
4.13	87
5.06	87
5.06	91
5.23	91
5.23	74
5.46	74
5.46	91
5.73	91
5.73	87
7.96	87
7.96	91
9.08	91
9.08	74
9.53	74
9.53	95
10.98	95
10.98	78
11.31	78
11.31	95
12.56	95
12.56	91
13.28	91
13.28	89
14.21	89
14.21	95
14.41	95
14.41	89
15.46	89
15.46	95
15.71	95
15.71	91
16.41	91
16.41	87
20.36	87
20.36	115
21.83	115
21.83	87
23.75	87
23.75	115
25.48	115
25.48	163
25.8	163
25.8	120
28.1	120
28.1	115
28.95	115
28.95	163
30.7	163
30.7	120
30.91	120
30.91	91
31.1	91
31.1	61
31.88	61
31.88	78
32.21	78
32.21	89
32.68	89
32.68	84
34.6	84
34.6	89
35.23	89
35.23	84
36.41	84
36.41	89
36.91	89
36.91	95
37.38	95
37.38	89
38.3	89
38.3	91
40.05	91
40.05	95
40.4	95
40.4	89
40.95	89
40.95	68
41.6	68
41.6	89
41.85	89
41.85	95
42.51	95
42.51	89
42.9	89
42.9	95
43.95	95
43.95	78
44.85	78
44.85	91
45.56	91
45.56	61
45.93	61
45.93	89
46.7	89
46.7	91
47.05	91
47.05	89
47.78	89
47.78	95
50.36	95
50.36	78
51.6	78
51.6	89
52.81	89
52.81	95
53.16	95
53.16	89
53.68	89
53.68	74
55.06	74
55.06	91
55.78	91
55.78	95
57.05	95
57.05	91
60.8	91
60.8	95
62.08	95
62.08	91
63.11	91
63.11	95
63.71	95
63.71	89
64.01	89
64.01	95
65.21	95
65.21	91
65.8	91
65.8	87
66.4	87
66.4	91
67.05	91
67.05	95
67.56	95
67.56	89
68.15	89
68.15	95
69.01	95
69.01	89
69.96	89
69.96	95
71.56	95
71.56	91
72.61	91
72.61	95
72.88	95
72.88	91
74.6	91
74.6	95
75.65	95
75.65	78
77.08	78
77.08	95
78.13	95
78.13	91
81.08	91
81.08	74
81.63	74
81.63	95
81.81	95
81.81	89
82.23	89
82.23	95
82.86	95
82.86	89
83.16	89
83.16	95
83.61	95
83.61	91
84	91
84	74
86.13	74
86.13	95
87.65	95
87.65	91
88.88	91
88.88	95
90.28	95
90.28	91
91.31	91
91.31	87
92.73	87
92.73	91
92.96	91
92.96	61
93.3	61
93.3	61
93.4	61
93.4	37
98.2	37
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	5892	Workout
143	171	Endurance 1
171	200	Sweet Spot 1
200	232	Sweet Spot 2
232	248	Sweet Spot 3
248	304	Sweet Spot 4
304	314	Sweet Spot 5
314	328	Endurance 2
328	344	Sweet Spot 6
344	478	Sweet Spot 7
478	545	Sweet Spot 8
545	572	Endurance 3
572	659	Sweet Spot 9
659	679	Tempo 1
679	754	Sweet Spot 10
754	797	Sweet Spot 11
797	853	Sweet Spot 12
853	865	Sweet Spot 13
865	928	Sweet Spot 14
928	943	Sweet Spot 15
943	985	Sweet Spot 16
985	1222	Sweet Spot 17
1222	1310	VO2 Max 1
1310	1425	Sweet Spot 18
1425	1529	VO2 Max 2
1529	1548	Sprint 1
1548	1686	VO2 Max 3
1686	1737	VO2 Max 4
1737	1842	Anaerobic Capacity 1
1842	1855	VO2 Max 5
1855	1866	Sweet Spot 19
1866	1913	Endurance 4
1913	1933	Tempo 2
1933	1961	Sweet Spot 20
1961	2076	Tempo 3
2076	2114	Sweet Spot 21
2114	2185	Tempo 4
2185	2215	Sweet Spot 22
2215	2243	Sweet Spot 23
2243	2298	Sweet Spot 24
2298	2403	Sweet Spot 25
2403	2424	Sweet Spot 26
2424	2457	Sweet Spot 27
2457	2496	Endurance 5
2496	2511	Sweet Spot 28
2511	2551	Sweet Spot 29
2551	2574	Sweet Spot 30
2574	2637	Sweet Spot 31
2637	2691	Tempo 5
2691	2734	Sweet Spot 32
2734	2756	Endurance 6
2756	2802	Sweet Spot 33
2802	2823	Sweet Spot 34
2823	2867	Sweet Spot 35
2867	3022	Sweet Spot 36
3022	3096	Tempo 6
3096	3169	Sweet Spot 37
3169	3190	Sweet Spot 38
3190	3221	Sweet Spot 39
3221	3304	Endurance 7
3304	3347	Sweet Spot 40
3347	3423	Sweet Spot 41
3423	3648	Sweet Spot 42
3648	3725	Sweet Spot 43
3725	3787	Sweet Spot 44
3787	3823	Sweet Spot 45
3823	3841	Sweet Spot 46
3841	3913	Sweet Spot 47
3913	3948	Sweet Spot 48
3948	3984	Sweet Spot 49
3984	4023	Sweet Spot 50
4023	4054	Sweet Spot 51
4054	4089	Sweet Spot 52
4089	4141	Sweet Spot 53
4141	4198	Sweet Spot 54
4198	4294	Sweet Spot 55
4294	4357	Sweet Spot 56
4357	4373	Sweet Spot 57
4373	4476	Sweet Spot 58
4476	4539	Sweet Spot 59
4539	4625	Tempo 7
4625	4688	Sweet Spot 60
4688	4865	Sweet Spot 61
4865	4898	Endurance 8
4898	4909	Sweet Spot 62
4909	4934	Sweet Spot 63
4934	4972	Sweet Spot 64
4972	4990	Sweet Spot 65
4990	5017	Sweet Spot 66
5017	5040	Sweet Spot 67
5040	5168	Endurance 9
5168	5259	Sweet Spot 68
5259	5333	Sweet Spot 69
5333	5417	Sweet Spot 70
5417	5479	Sweet Spot 71
5479	5564	Sweet Spot 72
5564	5578	Sweet Spot 73
5578	5598	Endurance 10
5598	5604	Endurance 11
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

