[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Monroe +1,92,105. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	125
15	125
15	10
16	10
16	40
20	40
20	88
20.25	88
20.25	125
20.5	125
20.5	88
20.75	88
20.75	125
21	125
21	88
21.25	88
21.25	125
21.5	125
21.5	88
21.75	88
21.75	125
22	125
22	88
22.41	88
22.41	125
22.75	125
22.75	88
23	88
23	125
23.25	125
23.25	88
23.5	88
23.5	125
23.83	125
23.83	88
24.08	88
24.08	125
24.41	125
24.41	88
24.91	88
24.91	125
25.33	125
25.33	88
25.58	88
25.58	125
26	125
26	40
28	40
28	88
28.25	88
28.25	125
28.5	125
28.5	88
28.75	88
28.75	125
29	125
29	88
29.25	88
29.25	125
29.58	125
29.58	88
29.83	88
29.83	125
30.16	125
30.16	88
30.66	88
30.66	125
31	125
31	88
31.25	88
31.25	125
31.58	125
31.58	88
31.83	88
31.83	125
32.08	125
32.08	88
32.33	88
32.33	125
32.58	125
32.58	88
32.91	88
32.91	125
33.33	125
33.33	88
33.58	88
33.58	125
34	125
34	40
36	40
36	88
36.25	88
36.25	125
36.5	125
36.5	88
36.75	88
36.75	125
37	125
37	88
37.25	88
37.25	125
37.58	125
37.58	88
37.91	88
37.91	125
38.25	125
38.25	88
38.58	88
38.58	125
38.91	125
38.91	88
39.16	88
39.16	125
39.41	125
39.41	88
39.66	88
39.66	125
39.91	125
39.91	88
40.25	88
40.25	125
40.66	125
40.66	88
40.91	88
40.91	125
41.33	125
41.33	88
41.58	88
41.58	125
42	125
42	40
44	40
44	88
44.25	88
44.25	125
44.5	125
44.5	88
44.75	88
44.75	125
45	125
45	88
45.25	88
45.25	125
45.58	125
45.58	88
45.83	88
45.83	125
46.16	125
46.16	88
46.66	88
46.66	125
47.08	125
47.08	88
47.41	88
47.41	125
47.75	125
47.75	88
48.08	88
48.08	125
48.33	125
48.33	88
48.58	88
48.58	125
48.83	125
48.83	88
49.08	88
49.08	125
49.33	125
49.33	88
49.58	88
49.58	125
50	125
50	40
52	40
52	88
52.25	88
52.25	125
52.5	125
52.5	88
52.75	88
52.75	125
53	125
53	88
53.25	88
53.25	125
53.58	125
53.58	88
53.91	88
53.91	125
54.25	125
54.25	88
54.5	88
54.5	125
54.83	125
54.83	88
55.08	88
55.08	125
55.33	125
55.33	88
55.58	88
55.58	125
55.83	125
55.83	88
56.08	88
56.08	125
56.5	125
56.5	88
56.91	88
56.91	125
57.33	125
57.33	88
57.58	88
57.58	125
58	125
58	40
60	40
60	88
60.25	88
60.25	125
60.5	125
60.5	88
60.75	88
60.75	125
61	125
61	88
61.25	88
61.25	125
61.5	125
61.5	88
61.75	88
61.75	125
62.08	125
62.08	88
62.33	88
62.33	125
62.66	125
62.66	88
63	88
63	125
63.33	125
63.33	88
63.58	88
63.58	125
64	125
64	88
64.25	88
64.25	125
64.5	125
64.5	88
64.91	88
64.91	125
65.33	125
65.33	88
65.58	88
65.58	125
66	125
66	40
75	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	4500	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1215	Sweet Spot 1
1215	1230	Sprint 4
1230	1245	Sweet Spot 2
1245	1260	Sprint 5
1260	1275	Sweet Spot 3
1275	1290	Sprint 6
1290	1305	Sweet Spot 4
1305	1320	Sprint 7
1320	1345	Sweet Spot 5
1345	1365	Sprint 8
1365	1380	Sweet Spot 6
1380	1395	Sprint 9
1395	1410	Sweet Spot 7
1410	1430	Sprint 10
1430	1445	Sweet Spot 8
1445	1465	Sprint 11
1465	1495	Sweet Spot 9
1495	1520	Sprint 12
1520	1535	Sweet Spot 10
1535	1560	Sprint 13
1680	1695	Sweet Spot 11
1695	1710	Sprint 14
1710	1725	Sweet Spot 12
1725	1740	Sprint 15
1740	1755	Sweet Spot 13
1755	1775	Sprint 16
1775	1790	Sweet Spot 14
1790	1810	Sprint 17
1810	1840	Sweet Spot 15
1840	1860	Sprint 18
1860	1875	Sweet Spot 16
1875	1895	Sprint 19
1895	1910	Sweet Spot 17
1910	1925	Sprint 20
1925	1940	Sweet Spot 18
1940	1955	Sprint 21
1955	1975	Sweet Spot 19
1975	2000	Sprint 22
2000	2015	Sweet Spot 20
2015	2040	Sprint 23
2160	2175	Sweet Spot 21
2175	2190	Sprint 24
2190	2205	Sweet Spot 22
2205	2220	Sprint 25
2220	2235	Sweet Spot 23
2235	2255	Sprint 26
2255	2275	Sweet Spot 24
2275	2295	Sprint 27
2295	2315	Sweet Spot 25
2315	2335	Sprint 28
2335	2350	Sweet Spot 26
2350	2365	Sprint 29
2365	2380	Sweet Spot 27
2380	2395	Sprint 30
2395	2415	Sweet Spot 28
2415	2440	Sprint 31
2440	2455	Sweet Spot 29
2455	2480	Sprint 32
2480	2495	Sweet Spot 30
2495	2520	Sprint 33
2640	2655	Sweet Spot 31
2655	2670	Sprint 34
2670	2685	Sweet Spot 32
2685	2700	Sprint 35
2700	2715	Sweet Spot 33
2715	2735	Sprint 36
2735	2750	Sweet Spot 34
2750	2770	Sprint 37
2770	2800	Sweet Spot 35
2800	2825	Sprint 38
2825	2845	Sweet Spot 36
2845	2865	Sprint 39
2865	2885	Sweet Spot 37
2885	2900	Sprint 40
2900	2915	Sweet Spot 38
2915	2930	Sprint 41
2930	2945	Sweet Spot 39
2945	2960	Sprint 42
2960	2975	Sweet Spot 40
2975	3000	Sprint 43
3120	3135	Sweet Spot 41
3135	3150	Sprint 44
3150	3165	Sweet Spot 42
3165	3180	Sprint 45
3180	3195	Sweet Spot 43
3195	3215	Sprint 46
3215	3235	Sweet Spot 44
3235	3255	Sprint 47
3255	3270	Sweet Spot 45
3270	3290	Sprint 48
3290	3305	Sweet Spot 46
3305	3320	Sprint 49
3320	3335	Sweet Spot 47
3335	3350	Sprint 50
3350	3365	Sweet Spot 48
3365	3390	Sprint 51
3390	3415	Sweet Spot 49
3415	3440	Sprint 52
3440	3455	Sweet Spot 50
3455	3480	Sprint 53
3600	3615	Sweet Spot 51
3615	3630	Sprint 54
3630	3645	Sweet Spot 52
3645	3660	Sprint 55
3660	3675	Sweet Spot 53
3675	3690	Sprint 56
3690	3705	Sweet Spot 54
3705	3725	Sprint 57
3725	3740	Sweet Spot 55
3740	3760	Sprint 58
3760	3780	Sweet Spot 56
3780	3800	Sprint 59
3800	3815	Sweet Spot 57
3815	3840	Sprint 60
3840	3855	Sweet Spot 58
3855	3870	Sprint 61
3870	3895	Sweet Spot 59
3895	3920	Sprint 62
3920	3935	Sweet Spot 60
3935	3960	Sprint 63
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

