[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Monroe -1,88,116. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
6	50
6	72
12	72
12	96
12.75	96
12.75	125
13	125
13	96
13.75	96
13.75	125
14	125
14	96
14.75	96
14.75	125
15	125
15	10
16	10
16	40
20	40
20	88
20.25	88
20.25	125
20.5	125
20.5	88
20.75	88
20.75	125
21	125
21	88
21.25	88
21.25	125
21.5	125
21.5	88
21.75	88
21.75	125
22	125
22	88
22.41	88
22.41	125
22.75	125
22.75	88
23	88
23	125
23.25	125
23.25	88
23.5	88
23.5	125
23.83	125
23.83	88
24.08	88
24.08	125
24.41	125
24.41	88
24.91	88
24.91	125
25.33	125
25.33	88
25.58	88
25.58	125
26	125
26	40
31	40
31	88
31.25	88
31.25	125
31.5	125
31.5	88
31.75	88
31.75	125
32	125
32	88
32.25	88
32.25	125
32.58	125
32.58	88
32.83	88
32.83	125
33.16	125
33.16	88
33.66	88
33.66	125
34	125
34	88
34.25	88
34.25	125
34.58	125
34.58	88
34.83	88
34.83	125
35.08	125
35.08	88
35.33	88
35.33	125
35.58	125
35.58	88
35.91	88
35.91	125
36.33	125
36.33	88
36.58	88
36.58	125
37	125
37	40
42	40
42	88
42.25	88
42.25	125
42.5	125
42.5	88
42.75	88
42.75	125
43	125
43	88
43.25	88
43.25	125
43.58	125
43.58	88
43.91	88
43.91	125
44.25	125
44.25	88
44.58	88
44.58	125
44.91	125
44.91	88
45.16	88
45.16	125
45.41	125
45.41	88
45.66	88
45.66	125
45.91	125
45.91	88
46.25	88
46.25	125
46.66	125
46.66	88
46.91	88
46.91	125
47.33	125
47.33	88
47.58	88
47.58	125
48	125
48	40
53	40
53	88
53.25	88
53.25	125
53.5	125
53.5	88
53.75	88
53.75	125
54	125
54	88
54.25	88
54.25	125
54.58	125
54.58	88
54.83	88
54.83	125
55.16	125
55.16	88
55.66	88
55.66	125
56.08	125
56.08	88
56.41	88
56.41	125
56.75	125
56.75	88
57.08	88
57.08	125
57.33	125
57.33	88
57.58	88
57.58	125
57.83	125
57.83	88
58.08	88
58.08	125
58.33	125
58.33	88
58.58	88
58.58	125
59	125
59	40
64	40
64	88
64.25	88
64.25	125
64.5	125
64.5	88
64.75	88
64.75	125
65	125
65	88
65.25	88
65.25	125
65.58	125
65.58	88
65.91	88
65.91	125
66.25	125
66.25	88
66.5	88
66.5	125
66.83	125
66.83	88
67.08	88
67.08	125
67.33	125
67.33	88
67.58	88
67.58	125
67.83	125
67.83	88
68.08	88
68.08	125
68.5	125
68.5	88
68.91	88
68.91	125
69.33	125
69.33	88
69.58	88
69.58	125
70	125
70	40
75	40
75	88
75.25	88
75.25	125
75.5	125
75.5	88
75.75	88
75.75	125
76	125
76	88
76.25	88
76.25	125
76.5	125
76.5	88
76.75	88
76.75	125
77.08	125
77.08	88
77.33	88
77.33	125
77.66	125
77.66	88
78	88
78	125
78.33	125
78.33	88
78.58	88
78.58	125
79	125
79	88
79.25	88
79.25	125
79.5	125
79.5	88
79.91	88
79.91	125
80.33	125
80.33	88
80.58	88
80.58	125
81	125
81	40
90	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	5400	Workout
360	720	Endurance 1
720	765	Threshold 1
765	780	Sprint 1
780	825	Threshold 2
825	840	Sprint 2
840	885	Threshold 3
885	900	Sprint 3
1200	1215	Sweet Spot 1
1215	1230	Sprint 4
1230	1245	Sweet Spot 2
1245	1260	Sprint 5
1260	1275	Sweet Spot 3
1275	1290	Sprint 6
1290	1305	Sweet Spot 4
1305	1320	Sprint 7
1320	1345	Sweet Spot 5
1345	1365	Sprint 8
1365	1380	Sweet Spot 6
1380	1395	Sprint 9
1395	1410	Sweet Spot 7
1410	1430	Sprint 10
1430	1445	Sweet Spot 8
1445	1465	Sprint 11
1465	1495	Sweet Spot 9
1495	1520	Sprint 12
1520	1535	Sweet Spot 10
1535	1560	Sprint 13
1860	1875	Sweet Spot 11
1875	1890	Sprint 14
1890	1905	Sweet Spot 12
1905	1920	Sprint 15
1920	1935	Sweet Spot 13
1935	1955	Sprint 16
1955	1970	Sweet Spot 14
1970	1990	Sprint 17
1990	2020	Sweet Spot 15
2020	2040	Sprint 18
2040	2055	Sweet Spot 16
2055	2075	Sprint 19
2075	2090	Sweet Spot 17
2090	2105	Sprint 20
2105	2120	Sweet Spot 18
2120	2135	Sprint 21
2135	2155	Sweet Spot 19
2155	2180	Sprint 22
2180	2195	Sweet Spot 20
2195	2220	Sprint 23
2520	2535	Sweet Spot 21
2535	2550	Sprint 24
2550	2565	Sweet Spot 22
2565	2580	Sprint 25
2580	2595	Sweet Spot 23
2595	2615	Sprint 26
2615	2635	Sweet Spot 24
2635	2655	Sprint 27
2655	2675	Sweet Spot 25
2675	2695	Sprint 28
2695	2710	Sweet Spot 26
2710	2725	Sprint 29
2725	2740	Sweet Spot 27
2740	2755	Sprint 30
2755	2775	Sweet Spot 28
2775	2800	Sprint 31
2800	2815	Sweet Spot 29
2815	2840	Sprint 32
2840	2855	Sweet Spot 30
2855	2880	Sprint 33
3180	3195	Sweet Spot 31
3195	3210	Sprint 34
3210	3225	Sweet Spot 32
3225	3240	Sprint 35
3240	3255	Sweet Spot 33
3255	3275	Sprint 36
3275	3290	Sweet Spot 34
3290	3310	Sprint 37
3310	3340	Sweet Spot 35
3340	3365	Sprint 38
3365	3385	Sweet Spot 36
3385	3405	Sprint 39
3405	3425	Sweet Spot 37
3425	3440	Sprint 40
3440	3455	Sweet Spot 38
3455	3470	Sprint 41
3470	3485	Sweet Spot 39
3485	3500	Sprint 42
3500	3515	Sweet Spot 40
3515	3540	Sprint 43
3840	3855	Sweet Spot 41
3855	3870	Sprint 44
3870	3885	Sweet Spot 42
3885	3900	Sprint 45
3900	3915	Sweet Spot 43
3915	3935	Sprint 46
3935	3955	Sweet Spot 44
3955	3975	Sprint 47
3975	3990	Sweet Spot 45
3990	4010	Sprint 48
4010	4025	Sweet Spot 46
4025	4040	Sprint 49
4040	4055	Sweet Spot 47
4055	4070	Sprint 50
4070	4085	Sweet Spot 48
4085	4110	Sprint 51
4110	4135	Sweet Spot 49
4135	4160	Sprint 52
4160	4175	Sweet Spot 50
4175	4200	Sprint 53
4500	4515	Sweet Spot 51
4515	4530	Sprint 54
4530	4545	Sweet Spot 52
4545	4560	Sprint 55
4560	4575	Sweet Spot 53
4575	4590	Sprint 56
4590	4605	Sweet Spot 54
4605	4625	Sprint 57
4625	4640	Sweet Spot 55
4640	4660	Sprint 58
4660	4680	Sweet Spot 56
4680	4700	Sprint 59
4700	4715	Sweet Spot 57
4715	4740	Sprint 60
4740	4755	Sweet Spot 58
4755	4770	Sprint 61
4770	4795	Sweet Spot 59
4795	4820	Sprint 62
4820	4835	Sweet Spot 60
4835	4860	Sprint 63
[END INTERVAL DATA]

[MODE DATA]
[END MODE DATA]

