[COURSE HEADER]
VERSION = 0
UNITS = ENGLISH
DESCRIPTION = Tour de Nez +2,99,146. Created by 1273.
FILE NAME = none
MINUTES	FTP
[END COURSE HEADER]

[COURSE DATA]
0	50
10	60
10	120
10.4	120
10.4	100
10.7	100
10.7	50
10.8	50
10.8	110
11	110
11	40
11.1	40
11.1	110
11.5	110
11.5	40
16.5	40
16.5	147
16.9	147
16.9	102
17.2	102
17.2	62
17.3	62
17.3	132
17.5	132
17.5	62
17.6	62
17.6	127
18	127
18	40
18.5	40
18.5	132
18.9	132
18.9	102
19.2	102
19.2	62
19.3	62
19.3	122
19.5	122
19.5	62
19.6	62
19.6	122
20	122
20	40
20.5	40
20.5	157
20.9	157
20.9	102
21.2	102
21.2	62
21.3	62
21.3	137
21.5	137
21.5	62
21.6	62
21.6	142
22	142
22	40
22.5	40
22.5	132
22.9	132
22.9	102
23.2	102
23.2	62
23.3	62
23.3	122
23.5	122
23.5	62
23.6	62
23.6	122
24	122
24	40
24.5	40
24.5	142
24.9	142
24.9	102
25.2	102
25.2	62
25.3	62
25.3	142
25.5	142
25.5	62
25.6	62
25.6	132
26	132
26	40
26.5	40
26.5	157
26.9	157
26.9	102
27.2	102
27.2	62
27.3	62
27.3	132
27.5	132
27.5	62
27.6	62
27.6	127
28	127
28	40
28.5	40
28.5	132
28.9	132
28.9	102
29.2	102
29.2	62
29.3	62
29.3	122
29.5	122
29.5	62
29.6	62
29.6	122
30	122
30	40
30.5	40
30.5	137
30.9	137
30.9	102
31.2	102
31.2	62
31.3	62
31.3	127
31.5	127
31.5	62
31.6	62
31.6	127
32	127
32	40
32.5	40
32.5	132
32.9	132
32.9	102
33.2	102
33.2	62
33.3	62
33.3	122
33.5	122
33.5	62
33.6	62
33.6	122
34	122
34	40
34.5	40
34.5	142
34.9	142
34.9	102
35.2	102
35.2	62
35.3	62
35.3	142
35.5	142
35.5	62
35.6	62
35.6	132
36	132
36	40
36.5	40
36.5	157
36.9	157
36.9	102
37.2	102
37.2	62
37.3	62
37.3	132
37.5	132
37.5	62
37.6	62
37.6	127
38	127
38	40
38.5	40
38.5	132
38.9	132
38.9	102
39.2	102
39.2	62
39.3	62
39.3	122
39.5	122
39.5	62
39.6	62
39.6	122
40	122
40	40
40.5	40
40.5	137
40.9	137
40.9	102
41.2	102
41.2	62
41.3	62
41.3	127
41.5	127
41.5	62
41.6	62
41.6	127
42	127
42	40
42.5	40
42.5	132
42.9	132
42.9	102
43.2	102
43.2	62
43.3	62
43.3	122
43.5	122
43.5	62
43.6	62
43.6	122
44	122
44	40
44.5	40
44.5	132
44.9	132
44.9	102
45.2	102
45.2	62
45.3	62
45.3	122
45.5	122
45.5	62
45.6	62
45.6	122
46	122
46	40
46.5	40
46.5	152
46.9	152
46.9	102
47.2	102
47.2	62
47.3	62
47.3	132
47.5	132
47.5	62
47.6	62
47.6	142
48	142
48	40
48.5	40
48.5	132
48.9	132
48.9	102
49.2	102
49.2	62
49.3	62
49.3	122
49.5	122
49.5	62
49.6	62
49.6	122
50	122
50	40
50.5	40
50.5	142
50.9	142
50.9	102
51.2	102
51.2	62
51.3	62
51.3	142
51.5	142
51.5	62
51.6	62
51.6	132
52	132
52	40
52.5	40
52.5	157
52.9	157
52.9	102
53.2	102
53.2	62
53.3	62
53.3	132
53.5	132
53.5	62
53.6	62
53.6	127
54	127
54	40
54.5	40
54.5	132
54.9	132
54.9	102
55.2	102
55.2	62
55.3	62
55.3	122
55.5	122
55.5	62
55.6	62
55.6	122
56	122
56	40
56.5	40
56.5	137
56.9	137
56.9	102
57.2	102
57.2	62
57.3	62
57.3	127
57.5	127
57.5	62
57.6	62
57.6	127
58	127
58	40
58.5	40
58.5	132
58.9	132
58.9	102
59.2	102
59.2	62
59.3	62
59.3	122
59.5	122
59.5	62
59.6	62
59.6	122
60	122
60	40
60.5	40
60.5	152
60.9	152
60.9	102
61.2	102
61.2	62
61.3	62
61.3	137
61.5	137
61.5	62
61.6	62
61.6	132
62	132
62	40
62.5	40
62.5	152
62.9	152
62.9	102
63.2	102
63.2	62
63.3	62
63.3	132
63.5	132
63.5	62
63.6	62
63.6	137
64	137
64	40
64.5	40
64.5	132
64.9	132
64.9	102
65.2	102
65.2	62
65.3	62
65.3	122
65.5	122
65.5	62
65.6	62
65.6	122
66	122
66	40
66.5	40
66.5	157
66.9	157
66.9	102
67.2	102
67.2	62
67.3	62
67.3	122
67.5	122
67.5	62
67.6	62
67.6	122
68	122
68	40
68.5	40
68.5	132
68.9	132
68.9	102
69.2	102
69.2	62
69.3	62
69.3	122
69.5	122
69.5	62
69.6	62
69.6	122
70	122
70	40
70.5	40
70.5	142
70.9	142
70.9	102
71.2	102
71.2	62
71.3	62
71.3	142
71.5	142
71.5	62
71.6	62
71.6	147
72	147
72	40
72.5	40
72.5	132
72.9	132
72.9	102
73.2	102
73.2	62
73.3	62
73.3	122
73.5	122
73.5	62
73.6	62
73.6	132
74	132
74	40
74.5	40
74.5	137
74.9	137
74.9	102
75.2	102
75.2	62
75.3	62
75.3	142
75.5	142
75.5	62
75.6	62
75.6	122
76	122
76	40
76.5	40
76.5	142
76.9	142
76.9	102
77.2	102
77.2	62
77.3	62
77.3	132
77.5	132
77.5	62
77.6	62
77.6	132
78	132
78	40
78.5	40
78.5	152
78.9	152
78.9	102
79.2	102
79.2	62
79.3	62
79.3	142
79.5	142
79.5	62
79.6	62
79.6	142
80	142
80	40
80.5	40
80.5	157
80.9	157
80.9	102
81.2	102
81.2	62
81.3	62
81.3	147
81.5	147
81.5	62
81.6	62
81.6	157
82	157
82	40
90	30
[END COURSE DATA]

[COURSE TEXT]
[END COURSE TEXT]

[INTERVAL DATA]
0	5400	Workout
600	624	VO2 Max 1
624	642	Threshold 1
648	660	VO2 Max 2
666	690	VO2 Max 3
990	1014	Sprint 1
1014	1032	Threshold 2
1032	1038	Endurance 1
1038	1050	Sprint 2
1050	1056	Endurance 2
1056	1080	Sprint 3
1110	1134	Sprint 4
1134	1152	Threshold 3
1152	1158	Endurance 3
1158	1170	Sprint 5
1170	1176	Endurance 4
1176	1200	Sprint 6
1230	1254	Sprint 7
1254	1272	Threshold 4
1272	1278	Endurance 5
1278	1290	Sprint 8
1290	1296	Endurance 6
1296	1320	Sprint 9
1350	1374	Sprint 10
1374	1392	Threshold 5
1392	1398	Endurance 7
1398	1410	Sprint 11
1410	1416	Endurance 8
1416	1440	Sprint 12
1470	1494	Sprint 13
1494	1512	Threshold 6
1512	1518	Endurance 9
1518	1530	Sprint 14
1530	1536	Endurance 10
1536	1560	Sprint 15
1590	1614	Sprint 16
1614	1632	Threshold 7
1632	1638	Endurance 11
1638	1650	Sprint 17
1650	1656	Endurance 12
1656	1680	Sprint 18
1710	1734	Sprint 19
1734	1752	Threshold 8
1752	1758	Endurance 13
1758	1770	Sprint 20
1770	1776	Endurance 14
1776	1800	Sprint 21
1830	1854	Sprint 22
1854	1872	Threshold 9
1872	1878	Endurance 15
1878	1890	Sprint 23
1890	1896	Endurance 16
1896	1920	Sprint 24
1950	1974	Sprint 25
1974	1992	Threshold 10
1992	1998	Endurance 17
1998	2010	Sprint 26
2010	2016	Endurance 18
2016	2040	Sprint 27
